"feature_name","odds_ratio","pvalue","ci_lo","ci_up"
"Elective","2.35818","5e-04","1.8984","9.1678"
"tdur","0.99988","0.0732","0.9995","1.0001"
"L-hook electrocautery Dissect Cystic pedicle","0.99974","0.5598","0.9967","1.0087"
"L-hook electrocautery Coagulate Connective tissue","0.99941","0.8356","0.9821","1.2866"
"Suction irrigation Suction/Irrigation Blood","0.99887","0.4071","0.9809","1.0256"
"L-hook electrocautery Dissect Connective tissue","0.99878","0.0731","0.9915","1.0011"
"Assist","0.92116","0.6289","0.1435","78.5546"
